mascon_id,lat_center,lon_center,lon_center_0_360,lat_span_deg,lon_span_deg,area_km2,gsfc_location_code,gsfc_basin_code,country_of_center,frac_area_land,frac_area_arabian_peninsula,on_arabian_peninsula,leakage_2sigma_cm,leakage_trend_uncert_cm_per_yr,mean_noise_2sigma_cm,series_std_cm,signal_variance_cm2,noise_variance_cm2,variance_snr,n_months_observed
9390,16.0,51.502890199999996,51.5028902,1.0,1.0404624,12387.47,80,6009,Yemen,0.9960935647036236,0.9960935647036236,True,1.4638577081298474,0.060993215068261705,1.877469205198115,2.113808226652061,4.46818521906193,0.9120901128847312,3.8988418533889027,254
9391,16.0,52.54335259999999,52.5433526,1.0,1.0404624,12387.47,80,6009,(offshore/unassigned),0.2201890911628176,0.2201890911628176,False,1.5904455711378918,-0.06754024778475629,2.0971765212546747,2.2765199283532813,5.18254298418963,1.1380519238506703,3.5538721701327733,254
9392,31.0,49.675324700000004,49.6753247,1.0,1.1688312,12393.06,80,6010,Iran,0.9994211606340424,0.0,False,2.7323384512941677,-0.18107694850922973,2.0890626542858612,7.337919770598168,53.845066559735464,1.1292628315796396,46.681607021826544,254
9393,31.0,50.84415580000001,50.8441558,1.0,1.1688312,12393.06,80,6010,Iran,1.0,0.0,False,2.378342301611462,-0.11138078625646064,1.9645459852316423,8.083903461277206,65.3494951712496,0.9986573470757394,64.43735482706404,254
9394,30.0,49.19614150000001,49.1961415,1.0,1.1575563,12401.62,80,6010,(offshore/unassigned),0.33846711780032745,0.0,False,2.1863026281716462,-0.30788847844015954,1.9667328905875179,5.5070233364329635,30.32730602801725,1.0008819676236878,29.30058189580625,254
9395,30.0,50.3536977,50.3536977,1.0,1.1575563,12401.62,80,6010,Iran,0.7001786578401242,0.0,False,2.3540251341724456,-0.0412773595197245,2.2132174807954303,7.358746896894054,54.15115589254788,1.2674775826792324,41.72356105745202,254
9396,30.0,51.51125400000001,51.511254,1.0,1.1575563,12401.62,80,6010,Iran,1.0,0.0,False,2.038804608274816,0.24820234096636448,2.0955630337046656,9.815206313140571,96.33827496951453,1.1363014500797117,83.78232159499258,254
9397,29.0,51.0191083,51.0191083,1.0,1.1464968,12406.28,80,6010,Iran,0.6448086864128133,0.0,False,2.3221020087511404,0.1528719958547941,2.490503103882094,8.448868737978854,71.38338295159639,1.6049676311063652,43.47652498909845,254
9398,29.0,52.16560509999999,52.1656051,1.0,1.1464968,12406.28,80,6010,Iran,1.0,0.0,False,2.2035704940765504,0.5568321485839346,2.3166450107095615,12.232020971198486,149.62233703983952,1.3887084675152082,106.74207872985477,254
9399,29.0,53.312101900000016,53.3121019,1.0,1.1464968,12406.28,80,6010,Iran,1.0,0.0,False,1.8931159732382201,0.9005325734907506,2.0272091870188893,15.93086006265572,253.79230233591898,1.0633818287952157,237.66526158666744,254
