,tws,reservoir,soil_moisture,groundwater,tws_minus_reservoir_only
2015-12-01,37.260700701939555,3.995187585623682,2.1676507711607993,31.097862345155075,33.26551311631587
2016-01-01,39.02748273334374,5.278537123644239,1.2297570154260549,32.51918859427346,33.7489456096995
2016-02-01,35.698871251678675,4.073680141245923,-6.348377941190089,37.973569051622846,31.625191110432755
2016-03-01,32.856404083865705,3.019180222089002,-1.9093364632550918,31.74656032503181,29.837223861776714
2016-05-01,11.242612474353665,1.8957168523341141,14.394749513215293,-5.047853891195743,9.34689562201955
2016-06-01,13.677272754124955,4.692206401173254,32.19793350558678,-23.212867152635084,8.985066352951698
2016-07-01,-17.61355128291916,0.3135584605455604,-7.179569436950636,-10.747540306514091,-17.927109743464726
2016-08-01,31.32911171414463,-2.475257675889112,8.07391191468162,25.73045747535211,33.804369390033735
2016-11-01,-1.1996298169693511,-2.722116411073836,10.487796670778918,-8.965310076674434,1.5224865941044847
2016-12-01,47.687564872817426,-1.8097062782918403,24.082467053103613,25.414804098005657,49.497271151109274
2017-01-01,24.36760002715131,-1.746202172326727,7.171651508296778,18.942150691181258,26.113802199478037
2017-03-01,-8.893074673891494,-2.707198167541223,11.954758045579203,-18.14063455192947,-6.185876506350272
2017-04-01,20.743459797347136,-1.4778117683598406,12.942151855909383,9.279119709797595,22.22127156570698
2017-05-01,-2.4617049356851664,-1.5660547332801973,-0.07336469547475553,-0.8222855069302132,-0.8956502024049698
2017-06-01,-21.812526323446978,0.6419603622739152,-1.1747704756852435,-21.279716210035648,-22.454486685720894
2018-06-01,-10.504995820703254,-4.355842128563931,-0.5267732865165815,-5.622380405622742,-6.149153692139324
2018-07-01,-2.798019128014663,-6.558760900157407,-10.722221091683783,14.482962863826526,3.7607417721427443
2018-10-01,30.80212845625342,-4.271741758942845,23.17117812035874,11.902692094837521,35.073870215196266
2018-11-01,31.160083322058917,-3.4634647305788766,21.161955075893154,13.461592976744639,34.623548052637794
2018-12-01,18.190689082881907,-2.613622600627799,22.634539000119336,-1.8302273166096268,20.804311683509706
2019-01-01,37.65328443618542,-2.353913602479212,30.659433321519717,9.34776471714491,40.007198038664626
2019-02-01,51.53031436090497,-3.708173244643803,15.694984686785961,39.543502918762805,55.23848760554878
2019-03-01,34.69049069292238,-4.422607092647814,16.581411262585295,22.531686522984906,39.11309778557019
2019-04-01,3.331572708411591,-2.5801127246459044,11.863777788953826,-5.952092355896331,5.911685433057495
2019-05-01,-4.261776562234909,-2.1834694271526645,2.934255403494926,-5.012562538577172,-2.078307135082245
2019-06-01,17.067021891529485,-1.1266019074376779,3.366465492927808,14.82715830603936,18.19362379896716
2019-07-01,-0.8196184967103273,-4.579864956454356,-13.875523154749775,17.6357696144938,3.7602464597440295
2019-08-01,-30.886718963161815,-7.616962135781335,-25.938351212213213,2.6685943848327454,-23.269756827380476
2019-09-01,-18.251219582867712,-4.045021701065623,-15.36839343708337,1.1621955552812833,-14.206197881802087
2019-10-01,-45.46332618101629,-7.2720825701953515,-31.462620712057436,-6.728622898763506,-38.191243610820955
2019-11-01,-20.241365490658342,-8.35169733106498,-20.574056622318693,8.684388462725336,-11.88966815959336
2019-12-01,-7.694182414829497,-8.640461554744858,-21.339831477646044,22.286110617561402,0.946279139915359
